name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
jaane kyun de yaaron,2018,131,Drama,4.8,38,Akshay Anand,muntazir ahmad,akshay anand,kabir bedi
jaane tu,2008,155,"Comedy, Drama, Romance",7.5,25819,Abbas Tyrewala,imran khan,genelia d'souza,manjari fadnnis
jaane-anjaane,1971,139,Drama,6.5,40,Shakti Samanta,shammi kapoor,leena chandavarkar,sandhya roy
jaaneman,1976,110,"Crime, Drama, Romance",6.8,48,Chetan Anand,dev anand,hema malini,prem nath
jaan-e-mann: let's fall in love... again,2006,165,"Comedy, Drama, Musical",6.1,8218,Shirish Kunder,salman khan,akshay kumar,preity zinta
jaani dost,1983,153,"Action, Comedy, Drama",5.8,70,K. Raghavendra Rao,dharmendra,jeetendra,parveen babi
jaani dushman,1979,154,"Action, Horror, Mystery",6.1,455,Rajkumar Kohli,sunil dutt,sanjeev kumar,shatrughan sinha
jaani dushman: ek anokhi kahani,2002,170,"Action, Fantasy, Thriller",2.8,3240,Rajkumar Kohli,sunny deol,arman kohli,manisha koirala
jaanisaar,2015,124,"Drama, Romance",5.0,116,Muzaffar Ali,imran abbas,pernia qureshi,muzaffar ali
jaanwar,1999,172,"Action, Crime, Drama",6.0,2578,Suneel Darshan,akshay kumar,karisma kapoor,shilpa shetty kundra
jaanwar aur insaan,1972,155,"Action, Adventure, Thriller",6.3,36,Tapi Chanakya,shashi kapoor,rakhee gulzar,shabnam
jaaydaad,1989,129,"Crime, Drama",4.2,16,Dilip Naik,shashi kapoor,raj babbar,madhavi
jab harry met sejal,2017,143,"Comedy, Drama, Romance",5.3,19349,Imtiaz Ali,shah rukh khan,anushka sharma,björn freiberg
jab jab phool khile,1965,141,"Musical, Romance",6.9,278,Suraj Prakash,nanda,shashi kapoor,agha
jab pyar kisise hota hai,1961,139,"Comedy, Drama, Musical",6.8,120,Nasir Hussain,dev anand,asha parekh,sulochana latkar
jab se tumhe dekha hai,1963,136,"Drama, Romance",6.2,26,Kedar Kapoor,pradeep kumar,geeta bali,siddhu
jab tak hai jaan,2012,176,"Drama, Romance",6.7,52231,Yash Chopra,shah rukh khan,katrina kaif,anushka sharma
jab tum kaho,2016,94,Drama,5.6,14,Shankar Vikram,parvin dabas,ambalika sarkar,amit bhardwaj
jab we met,2007,138,"Comedy, Drama, Romance",7.9,49012,Imtiaz Ali,shahid kapoor,kareena kapoor,tarun arora
jab yaad kisi ki aati hai,1967,158,"Family, Romance",6.5,24,Naresh Saigal,mala sinha,dharmendra,anoop kumar
jabariya jodi,2019,125,"Action, Comedy, Drama",4.4,1317,Prashant Singh,sidharth malhotra,parineeti chopra,javed jaffrey
jack & dil,2018,98,"Comedy, Family",7.5,715,Sachin P. Karande,amit sadh,arbaaz khan,sonal chauhan
jackpot,2013,132,"Comedy, Thriller",2.0,721,Kaizad Gustad,naseeruddin shah,sunny leone,sachiin joshi
jacqueline i am coming,2019,112,Drama,8.1,17,Banty Dubey,raghuvir yadav,kiran d patil,shakti kumar
jadu tona,1977,112,"Horror, Romance",6.1,46,Ravikant Nagaich,ashok kumar,feroz khan,reena roy
jaganmohini,1978,163,Fantasy,6.6,31,B. Vittalacharya,jayamalini,narasimha raju,prabha
jagga jasoos,2017,161,"Action, Adventure, Comedy",6.5,9428,Anurag Basu,ranbir kapoor,katrina kaif,saswata chatterjee
jagir,1984,135,"Action, Adventure, Drama",6.4,156,Pramod Chakravorty,dharmendra,zeenat aman,mithun chakraborty
jagira,2001,139,"Action, Crime, Drama",5.1,17,Kanti Shah,ishrat ali,hemant birje,pinky chinoy
jagriti,1955,138,"Comedy, Drama, Family",6.8,140,Satyen Bose,abhi bhattacharya,pranoti ghosh,bipin gupta
jahan jaaeyega hamen paaeyega,2007,137,"Action, Comedy, Crime",3.9,42,Janmendra Ahuja,govinda,divyaa dwivedi,razak khan
jahan pyar miley,1969,138,"Drama, Family",6.4,27,Lekh Tandon,shashi kapoor,hema malini,nadira
jahan tum le chalo,1999,173,Romance,6.1,23,Desh Deepak,rana jung bahadur,shail chaturvedi,sonali kulkarni
jai bhim comrade,2011,199,Documentary,8.7,141,Anand Patwardhan,,,
jai chhathi maa,2019,141,Family,7.8,8,Murari Sinha,preeti jhangiani,ravi kishan,gurleen chopra
jai gangaajal,2016,149,"Crime, Drama",5.6,2455,Prakash Jha,priyanka chopra jonas,prakash jha,manav kaul
jai ho,2014,135,"Action, Drama",5.1,18411,Sohail Khan,salman khan,daisy shah,tabu
jai ho! democracy,2015,85,"Comedy, War",5.2,55,Bikramjeet Bhullar,ranjit kapoor,azb dahal,dolly ahluwalia
jai jagannath,2007,127,"Drama, Fantasy, History",7.9,37,Sabyasachi Mohapatra,sritam das,brendra n. gochhikar,sehenawaj khan
jai jawaan jai kisaan,2015,100,"Biography, Drama, History",5.2,28,Milann Ajmera,rati agnihotri,kanchan awasthi,rishi bhutani
jai kishen,1994,129,"Action, Drama",5.1,623,Sunil Agnihotri,akshay kumar,ayesha jhulka,chandni
jai mahakali,1951,162,Fantasy,7.2,5,Dhirubhai Desai,nirupa roy,shahu modak,ulhas
jai mummy di,2020,103,"Comedy, Drama, Romance",3.6,827,Navjot Gulati,poonam dhillon,supriya pathak,sunny singh nijjar
jai santoshi maa,1975,145,"Drama, Fantasy",6.2,118,Vijay Sharma,bharat bhushan,ashish kumar,kanan kaushal
jai shiv shankar,1990,90,Drama,5.3,19,S.A. Chandrashekhar,rajesh khanna,jeetendra,dimple kapadia
jai veeru: friends forever,2009,160,"Action, Adventure, Crime",3.6,271,Puneet Sira,fardeen khan,kunal khemu,dia mirza
jai vikraanta,1995,195,Action,5.0,87,Sultan Ahmed,sanjay dutt,zeba bakhtiar,amrish puri
jail,2009,131,Drama,6.2,1242,Madhur Bhandarkar,manoj bajpayee,atul kulkarni,neil nitin mukesh
jaise ko taisa,1973,134,"Drama, Family",5.3,35,Murugan Kumaran,jeetendra,reena roy,srividya
jaisi karni waisi bharni,1989,168,"Comedy, Drama",5.6,223,Vimal Kumar,govinda,kimi katkar,kader khan
jai-vijay,1977,152,"Action, Adventure, Drama",5.2,16,L.V. Prasad,jeetendra,reena roy,prem krishan
jajantaram mamantaram,2003,122,"Action, Adventure, Comedy",5.8,864,Soumitra Ranade,javed jaffrey,gulshan grover,joy fernandes
jal,2013,126,Drama,6.7,454,Girish Malik,purab kohli,tannishtha chatterjee,kirti kulhari
jal mahal,1980,130,Fantasy,5.7,15,Raghunath Jhalani,jeetendra,rekha,deven verma
jalebi,2018,112,"Drama, Romance",6.0,2479,Pushpdeep Bhardwaj,rhea chakraborty,varun mitra,digangana suryavanshi
jallaad,1995,144,"Action, Drama",5.7,162,T.L.V. Prasad,mithun chakraborty,madhoo,rambha
jallian wala bagh,1977,185,History,7.0,33,Balraj Tah,shabana azmi,gulzar,vinod khanna
jalpari: the desert mermaid,2012,94,"Drama, Family, Mystery",7.1,375,Nila Madhab Panda,nilamadhab panda,lehar khan,krishang trivedi
jalwa,1987,134,"Action, Thriller",6.6,149,Pankaj Parashar,naseeruddin shah,archana puran singh,tejeshwar singh
jamun,2021,92,"Drama, Family",7.5,409,Gaurav Mehra,raghuvir yadav,shweta basu prasad,sunny hinduja
jan pahchan,1950,114,"Drama, Romance",7.1,61,Fali Mistry,nargis,raj kapoor,jeevan
janam kundli,1995,157,"Action, Drama",4.0,27,Tariq Shah,jeetendra,vinod khanna,reena roy
janam se pehle,1994,150,"Crime, Thriller",4.0,14,B.R. Ishara,raj babbar,farha naaz,sumeet saigal
janani,2006,124,"Drama, Romance",4.4,28,Chander H. Bahl,bhagyashree,ayesha jhulka,sonica handa
janasheen,2003,162,"Musical, Action, Drama",2.9,358,Feroz Khan,feroz khan,fardeen khan,celina jaitly
janbaaz,1986,175,"Action, Drama",6.2,662,Feroz Khan,feroz khan,anil kapoor,dimple kapadia
jangal mein mangal,1972,140,"Adventure, Romance",6.7,64,Rajendra Bhatia,kiran kumar,reena roy,sonia sahni
jango,2016,110,Mystery,2.7,11,Adam Avil,mukesh asopa,jannat ansari,adam avil
janleva 555,2012,140,"Musical, Romance, Thriller",4.2,20,Sundeep Malani,shona chabra,raja hasan,akash hora
janmabhoomi,1936,139,Drama,5.9,9,Franz Osten,devika rani,ashok kumar,pramila
jannat 2,2012,150,"Crime, Drama, Thriller",6.2,5333,Kunal Deshmukh,emraan hashmi,randeep hooda,esha gupta
jannat e milan,2018,135,Musical,2.8,8,Shekhar Ujjaninwal,rishabh vaidya,shakshi diwedi,ajay azad singh
jannat: in search of heaven...,2008,140,"Crime, Drama, Romance",6.9,6080,Kunal Deshmukh,emraan hashmi,sonal chauhan,armen grayg
janta hawaldar,1979,126,"Comedy, Crime, Drama",6.5,44,Mehmood,rajesh khanna,ashok kumar,yogeeta bali
janwar,1965,247,"Musical, Romance",7.0,168,Bhappi Sonie,shammi kapoor,rajshree,rehman
jappanil kalyanaraman,1985,138,"Action, Comedy, Romance",6.0,121,S.P. Muthuraman,kamal haasan,radha,sathyaraj
jashnn: the music within,2009,125,"Drama, Musical, Romance",3.9,250,Hasnain Hyderabadwala,raksha mistry,adhyayan suman,shahana goswami
jattu engineer,2017,139,Comedy,5.8,3336,Honeypreet Insan,gurmeet ram rahim singh,muntazir ahmad,amardeep insan
jawaani,1984,160,"Romance, Action, Drama",5.6,19,Ramesh Behl,karan shah,neelam kothari,moushumi chatterjee
jawaani jaaneman,2020,119,"Comedy, Drama",6.6,6371,Nitin Kakkar,saif ali khan,alaya f,tabu
jawab,1970,134,"Action, Drama, Romance",5.2,20,Ramanna,ashok kumar,meena kumari,jeetendra
jawab,1942,157,Drama,7.6,8,P.C. Barua,ratin banerjee,p.c. barua,ahindra choudhury
jawab ayega,1968,82,Family,6.0,5,Ismat Chughtai,shaheed latif,yogesh bali,meena rai
jawab hum denge,1987,135,Action,5.6,37,Vijay Reddy,jackie shroff,sridevi,shatrughan sinha
jawani diwani: a youthful joyride,2006,111,"Comedy, Drama, Romance",2.9,464,Manish Sharma,emraan hashmi,celina jaitly,hrishitaa bhatt
jawani ke gunah,1989,120,Drama,4.6,8,S.R. Pratap,rakesh bedi,sahila chaddha,tina ghai
jawani ki hawa,1959,143,Drama,5.0,7,M. Sadiq,pradeep kumar,vyjayanthimala,purnima
jawani zindabad,1990,163,"Drama, Romance",5.6,652,Arun Bhatt,aamir khan,farha naaz,javed jaffrey
jayantabhai ki luv story,2013,130,"Action, Comedy, Romance",5.3,1270,Vinnil Markan,vivek oberoi,neha sharma,rahul singh
jazbaa,2015,119,"Action, Crime, Drama",5.8,3375,Sanjay Gupta,aishwarya rai bachchan,irrfan khan,shabana azmi
jazbaat,1980,124,Drama,4.2,26,Suraj Prakash,raj babbar,zarina wahab,shashi puri
jeena hai toh thok daal,2012,123,"Action, Crime, Drama",5.5,31,Manish Vatssalya,ravi kishan,manish vatssalya,yashpal sharma
jeena isi ka naam hai,2017,173,Drama,5.4,99,Keshhav Panneriy,arbaaz khan,himansh kohli,ashutosh rana
jeena marna tere sang,1992,150,"Action, Romance",4.8,70,Vijay Reddy,sanjay dutt,raveena tandon,javed jaffrey
jeena sirf merre liye,2002,137,"Comedy, Romance",4.4,728,Talat Jani,kareena kapoor,tusshar kapoor,mallika sherawat
jeena teri gali mein,1991,144,Romance,4.8,17,Tinnu Anand,kavita kapoor,amita nangia,kunickaa sadanand
jeena yahan,1979,93,Drama,6.7,18,Basu Chatterjee,shekhar kapur,shabana azmi,dina pathak
jeene do,1990,125,"Action, Drama",4.6,47,Rajesh Seth,rajesh sethi,sanjay dutt,jackie shroff
jeene ki arzoo,1981,132,Drama,5.9,22,Rajashekhar,mithun chakraborty,rati agnihotri,chandrashekhar
jeene ki raah,1969,152,"Drama, Romance",6.9,82,L.V. Prasad,jeetendra,tanuja,anjali kadam
jeene nahi doonga,1984,133,Action,5.9,55,Rajkumar Kohli,dharmendra,shatrughan sinha,raj babbar
jeet,1996,180,"Action, Romance",5.7,2169,Raj Kanwar,sunny deol,karisma kapoor,salman khan
jeet hamaari,1983,149,Action,4.8,22,R. Thyagaraajan,rakesh roshan,rajinikanth,ranjeeta kaur
jeeva,1986,123,"Action, Drama, Music",4.1,55,Raj N. Sippy,sanjay dutt,mandakini,amjad khan
jeevan daata,1991,120,Action,3.8,9,Swaroop Kumar,chunky panday,aditya pancholi,kimi katkar
jeevan dhaara,1982,137,"Family, Drama",6.6,70,Rama Rao Tatineni,rekha,amol palekar,raj babbar
jeevan ek sanghursh,1990,159,"Drama, Family",4.9,168,Rahul Rawail,rakhee gulzar,anil kapoor,madhuri dixit
jeevan jyoti,1976,136,"Drama, Family",6.3,11,Murugan Kumaran,vijay arora,bindiya goswami,rakesh pandey
jeevan mrityu,1970,140,"Drama, Romance, Thriller",7.1,216,Satyen Bose,dharmendra,rakhee gulzar,ajit
jeevan naya,1936,140,Drama,7.3,6,Franz Osten,devika rani,ashok kumar,kamta prasad
jeevan yudh,1997,136,"Action, Drama, Family",5.1,32,Partho Ghosh,mithun chakraborty,atul agnihotri,mamta kulkarni
jewel thief,1967,186,"Crime, Drama, Musical",8.0,1771,Vijay Anand,ashok kumar,dev anand,vyjayanthimala
jhakaas!,2018,56,"Comedy, Drama",6.1,11,Anirudh Baboo,mukund krishna kumar nair,sangeeth shobhan,saraswat mandarapu
jhalki,2019,104,Drama,7.2,672,Brahmanand S. Singh,tanvi jain,boman irani,tannishtha chatterjee
jhanak jhanak payal baaje,1955,143,"Drama, Musical, Romance",6.5,105,Shantaram Rajaram Vankudre,gopi krishna,sandhya,keshavrao date
jhankaar beats,2003,143,"Comedy, Music, Romance",7.2,1976,Sujoy Ghosh,sanjay suri,rahul bose,juhi chawla
jhansi ki rani,1953,97,"Biography, Drama, History",6.9,89,Sohrab Modi,mehtab,sohrab modi,mubarak
jhansi ki rani laxmibai,2012,140,History,7.1,15,Rajesh Mittal,tom alter,sadashiv amrapurkar,arav chowdharry
jheel ke us paar,1973,142,"Drama, Romance",7.2,88,Bhappi Sonie,dharmendra,mumtaz,prem chopra
jhol,2019,112,"Comedy, Drama",8.2,42,Shakti,alisha farrer,chetan hansraj,manisha kelkar
jhoola,1941,177,Drama,6.3,13,Gyan Mukherjee,leela chitnis,ashok kumar,shah nawaz
jhoola,1962,147,"Drama, Family",5.9,11,K. Shankar,sunil dutt,vyjayanthimala,pran
jhoom barabar jhoom,2007,138,"Comedy, Drama, Musical",3.7,3043,Shaad Ali,abhishek bachchan,preity zinta,bobby deol
jhooth bole kauwa kaate,1998,148,"Comedy, Romance",5.7,771,Hrishikesh Mukherjee,anil kapoor,juhi chawla,amrish puri
jhootha hi sahi,2010,142,"Comedy, Drama, Romance",6.1,1870,Abbas Tyrewala,john abraham,paakhi a. tyrewala,raghu ram
jhootha kahin ka,2019,133,Comedy,4.7,330,Smeep Kang,rishi kapoor,jimmy sheirgill,sunny singh nijjar
jhoothi,1985,136,Comedy,6.6,129,Hrishikesh Mukherjee,rekha,raj babbar,amol palekar
jhoothi shaan,1991,139,"Action, Drama",4.6,20,Ranjan Bose,shabana azmi,mithun chakraborty,poonam dhillon
jhumroo,1961,171,"Comedy, Drama, Musical",7.0,539,Shankar Mukherjee,kishore kumar,madhubala,chanchal
ji chahta hai,1964,99,"Drama, Family",5.9,15,Bibhuti Mitra,joy mukherjee,rajshree,jeevan
jia aur jia,2017,93,Drama,4.4,167,Howard Rosemeyer,richa chadha,kalki koechlin,arslan goni
jiban maran,1938,144,"Drama, Romance",5.2,6,Nitin Bose,k.l. saigal,leela desai,devbala
jigariyaa,2014,142,Drama,4.9,301,Raj Purohit,harshvardhan deo,cherry mardia,deepak chaddha
jigarwala,1991,132,"Action, Drama",2.5,34,Swaroop Kumar,anil kapoor,tina ambani,urmila bhatt
jigri dost,1969,154,Drama,6.4,32,Ravikant Nagaich,jeetendra,mumtaz,k.n. singh
jigyaasa,2006,147,Drama,3.4,263,Faisal Saif,nassar abdulla,rakesh bedi,hrishitaa bhatt
jihad,2017,144,Drama,8.6,47,Rakesh Parmaar,farhad ahmed dehlvi,alfeeya donna,ahmer haider
jis desh mein ganga rehta hain,2000,141,"Comedy, Crime, Drama",4.9,1187,Mahesh Manjrekar,govinda,sonali bendre,rinke khanna
jis desh men ganga behti hai,1960,167,"Drama, Musical, Romance",7.4,435,Radhu Karmakar,raj kapoor,padmini,pran
jism,2003,136,"Drama, Romance, Thriller",5.2,2061,Amit Saxena,bipasha basu,john abraham,gulshan grover
jism 2,2012,130,"Drama, Romance, Thriller",3.0,3290,Pooja Bhatt,randeep hooda,arunoday singh,arif zakaria
jo bole so nihaal,2005,125,"Action, Comedy, Thriller",3.6,646,Rahul Rawail,sunny deol,thomas tevana,gary castro churchwell
jo dooba so paar: it's love in bihar!,2011,90,"Comedy, Crime, Drama",5.7,71,Praveen Kumar,anand tiwari,rajat kapoor,sita spada
jo jeeta wohi sikandar,1992,174,"Comedy, Drama, Romance",8.2,22147,Mansoor Khan,aamir khan,ayesha jhulka,deepak tijori
jodhaa akbar,2008,213,"Action, Drama, History",7.6,30717,Ashutosh Gowariker,hrithik roshan,aishwarya rai bachchan,sonu sood
jodi,1999,161,Romance,6.1,188,Praveenkanth,manager cheena,sakthi chidambaram,isha koppikar
jodi breakers,2012,127,"Comedy, Musical, Romance",3.5,1116,Ashwini Chaudhary,bipasha basu,helen,pradeep kharab
jodi no. 1,2001,140,"Comedy, Romance",5.8,2299,David Dhawan,sanjay dutt,govinda,twinkle khanna
jogan,1950,116,"Drama, Musical, Romance",7.4,80,Kidar Nath Sharma,nargis,dilip kumar,pratima devi
joggers' park,2003,133,"Comedy, Romance",6.2,353,Anant Balani,victor banerjee,perizaad zorabian,divya dutta
jogi the king,2005,172,"Action, Drama",7.3,266,Prem,shivarajkumar,neenasam ashwath,yana gupta
johar in bombay,1967,150,"Comedy, Drama, Fantasy",6.4,14,Shantilal Soni,i.s. johar,sonia sahni,rajendranath malhotra
johar in kashmir,1966,122,"Action, Drama, Thriller",6.8,12,I.S. Johar,mumtaz begum,rajan haksar,i.s. johar
johar mehmood in hong kong,1971,134,Comedy,6.8,49,S.A. Akbar,i.s. johar,mehmood,sonia sahni
johar-mehmood in goa,1965,145,"Action, Adventure, Comedy",6.8,44,I.S. Johar,mehmood,simi garewal,i.s. johar
john day,2013,138,"Action, Crime, Drama",5.6,831,Ahishor Solomon,naseeruddin shah,randeep hooda,elena kazan
johnny,1980,140,"Action, Crime, Drama",7.5,423,J. Mahendran,rajinikanth,k. balaji,unni mary
johnny gaddaar,2007,135,"Crime, Drama, Mystery",7.8,11795,Sriram Raghavan,dharmendra,rimi sen,ashwini kalsekar
johnny-walker,1957,151,"Comedy, Romance",6.0,9,Madan,daljit ved,shyama,johnny walker
johny i love you,1982,171,"Action, Romance",4.9,36,Rakesh Kumar,sanjay dutt,rati agnihotri,suresh oberoi
johny mera naam,1970,159,"Action, Drama, Musical",7.3,760,Vijay Anand,dev anand,hema malini,pran
joker,2012,104,"Comedy, Family, Sci-Fi",2.4,5235,Shirish Kunder,akshay kumar,sonakshi sinha,shreyas talpade
jolly llb,2013,135,"Comedy, Drama",7.5,18466,Subhash Kapoor,arshad warsi,amrita rao,boman irani
jolly llb 2,2017,137,"Comedy, Drama",7.2,23030,Subhash Kapoor,akshay kumar,huma qureshi,saurabh shukla
joru ka ghulam,2000,169,"Comedy, Drama, Romance",5.1,1038,Shakeel Noorani,govinda,twinkle khanna,kader khan
josef - born in grace,2019,100,Drama,9.0,12,Susant Misra,victor banerjee,subrat dutta,sudarshan juyal
josh,2000,162,"Action, Drama, Musical",6.2,9667,Mansoor Khan,dilip mestry,shah rukh khan,aishwarya rai bachchan
joshila,1973,137,"Drama, Thriller",6.2,104,Yash Chopra,dev anand,hema malini,pran
joshilaay,1989,107,"Action, Drama, Western",5.7,265,Sibte Hassan Rizvi,sunny deol,anil kapoor,sridevi
journey bombay to goa: laughter unlimited,2007,138,"Action, Adventure, Comedy",4.6,376,Raj Pendurkar,sunil pal,vijay raaz,raju srivastava
journeyings and conversations,2004,88,Documentary,7.4,13,Arvind Sinha,,,
joy: the real love story,2007,127,"Drama, Romance, Thriller",2.1,1619,Prashant Chadha,himesh reshammiya,hansika motwani,mallika sherawat
juaari,1994,184,"Action, Drama",3.1,34,Jagdish A. Sharma,dharmendra,arman kohli,shilpa shirodkar
juari,1968,155,Romance,6.6,21,Suraj Prakash,shashi kapoor,nanda,tanuja
judaai,1997,167,"Comedy, Drama, Romance",6.1,2249,Raj Kanwar,anil kapoor,sridevi,urmila matondkar
judaai,1980,149,"Family, Drama",5.9,70,Rama Rao Tatineni,ashok kumar,jeetendra,rekha
judge mujrim,1997,137,"Action, Drama",3.9,66,Jagdish A. Sharma,jeetendra,sunil shetty,sujata mehta
judgementall hai kya,2019,121,"Comedy, Drama, Mystery",5.9,5419,Prakash Kovelamudi,kangana ranaut,rajkummar rao,amyra dastur
judwaa,1997,138,"Action, Comedy, Drama",6.1,5679,David Dhawan,salman khan,karisma kapoor,rambha
judwaa 2,2017,145,"Action, Comedy",3.6,9622,David Dhawan,varun dhawan,jacqueline fernandez,taapsee pannu
jugni,2016,115,Drama,6.2,137,Shefali Bhushan,anurita jha,sadhana singh,sugandha garg
jugnu,1973,149,"Action, Drama, Thriller",6.5,182,Pramod Chakravorty,dharmendra,hema malini,pran
julie,1975,145,"Family, Musical, Romance",6.1,261,K.S. Sethumadhavan,lakshmi,vikram makandar,nadira
julie,2004,144,"Drama, Romance",4.0,404,Deepak S. Shivdasani,neha dhupia,priyanshu chatterjee,yash tonk
julie 2,2017,159,"Drama, Romance, Thriller",2.3,311,Deepak S. Shivdasani,nishikant kamat,raai laxmi,rati agnihotri
junction varanasi,2019,149,Drama,3.7,22,Dheeraj Pandit,dev sharma,anjali abrol,dheeraj pandit
june,2021,93,Drama,9.4,18,Suhrud Godbole,vaibhav khisti,nilesh divekar,jitendra joshi
jung,1996,146,"Action, Crime, Drama",4.0,233,Rama Rao Tatineni,mithun chakraborty,ajay devgn,rambha
jung,2000,147,"Action, Crime, Drama",4.2,364,Sanjay Gupta,sanjay dutt,jackie shroff,aditya pancholi
jung baaz,1989,143,"Action, Crime",5.6,75,Mehul Kumar,govinda,danny denzongpa,prem chopra
jungle,2000,146,"Action, Adventure, Romance",6.1,1102,Ram Gopal Varma,sunil shetty,fardeen khan,urmila matondkar
jungle love story,1998,133,Romance,6.2,6,Dilip Gulati,raza murad,amrit pal,raju srivastava
junglee,1961,139,"Comedy, Drama, Musical",7.3,467,Subodh Mukherji,shammi kapoor,saira banu,shashikala
junglee,2019,115,"Action, Adventure, Thriller",5.6,1658,Chuck Russell,vidyut jammwal,lars kjeldsen,asha bhat
junko,2017,78,Crime,3.1,8,Abhinav Thakur,neelam deysarkar,aayush thakur,aarav mavi
junoon,1979,141,Drama,7.6,503,Shyam Benegal,shashi kapoor,nafisa ali,shabana azmi
junoon,1992,123,"Drama, Horror, Musical",5.6,531,Mahesh Bhatt,rahul roy,pooja bhatt,avinash wadhawan
junooniyat,2016,155,"Drama, Romance",4.2,708,Vivek Agnihotri,pulkit samrat,yami gautam,gulshan devaiah
jurm,1990,103,"Action, Crime, Romance",5.6,129,Mahesh Bhatt,vinod khanna,meenakshi sheshadri,sangeeta bijlani
jurm,2005,150,"Crime, Drama, Mystery",5.4,482,Vikram Bhatt,kamal adib,bobby deol,lara dutta
jurmana,1979,139,"Drama, Romance",6.8,176,Hrishikesh Mukherjee,rakhee gulzar,amitabh bachchan,shreeram lagoo
jurmana,1996,134,Action,5.4,31,T.L.V. Prasad,mithun chakraborty,rambha,ashwini bhave
jurrat,1989,146,"Action, Crime",4.6,23,David Dhawan,shatrughan sinha,kumar gaurav,amala akkineni
just like that,2019,109,Drama,7.9,30,Kislay,trimala adhikari,harish khanna,mohini sharma
just married: marriage was only the beginning!,2007,135,"Comedy, Drama, Romance",5.3,495,Meghna Gulzar,fardeen khan,esha deol,neelima azim
justice chaudhury,1983,156,"Drama, Action, Comedy",5.6,75,K. Raghavendra Rao,jeetendra,hema malini,sridevi
jwalamukhi,1980,162,"Action, Romance, Drama",5.8,28,Prakash Mehra,waheeda rehman,shatrughan sinha,reena roy
jwalamukhi,2000,135,"Action, Drama",4.2,29,Jagdish A. Sharma,vijay sharma,abdul rehman sheikh,arjun
jwar bhata,1944,120,"Drama, Romance",7.6,34,Amiya Chakrabarty,ruma guha thakurta,aga jaan,vikram kapoor
jwlwi - the seed,2019,90,Drama,8.0,24,Rajni Basumatary,raj agnihotri,mondeep basumatary,rajni basumatary
jyoti,1981,144,Drama,5.9,31,Pramod Chakravorty,ajit,birbal,vijayendra ghatge
jyoti bane jwala,1980,166,"Drama, Family, Action",5.0,38,Narayana Rao Dasari,jeetendra,vinod mehra,ashok kumar
kaabil,2017,139,"Action, Crime, Drama",7.1,24942,Sanjay Gupta,hrithik roshan,yami gautam,ronit roy
kaaboo,2002,135,Action,6.5,29,Vicky Ranawat,rajat bedi,sudesh berry,abhay bhargava
kaadan,2021,170,"Action, Drama, Fantasy",9.1,2219,Prabu Solomon,raghu babu,rana daggubati,abudhar al hassan
kaadhal parisu,1987,143,"Drama, Romance",6.1,97,A. Jagannathan,kamal haasan,radha,ambika
kaafiron ki namaaz,2013,149,"Drama, Thriller",7.1,274,Ram Ramesh Sharma,alok chaturvedi,chandra shekhar dutta,joydip mukhopadhyay
kaagaz,2021,109,"Biography, Comedy, Drama",7.6,6738,Satish Kaushik,pankaj tripathi,monal gajjar,satish kaushik
kaagaz ke fools,2015,109,Comedy,3.9,136,Anil Chaudhary,vinay pathak,mugdha godse,raima sen
kaagaz ke phool,1959,148,Romance,8.0,2136,Guru Dutt,waheeda rehman,guru dutt,kumari naaz
kaagaz ki kashti,2017,127,Documentary,8.9,203,Brahmanand S. Singh,ghulam ali,talat aziz,mahesh bhatt
kaajal,1965,168,"Drama, Musical, Romance",6.2,119,Ram Maheshwari,meena kumari,dharmendra,padmini
kaal,2005,126,"Adventure, Horror, Mystery",4.6,5039,Soham Shah,ajay devgn,vivek oberoi,john abraham
kaala,2018,162,"Action, Drama",6.7,8163,Pa. Ranjith,rajinikanth,nana patekar,samuthirakani
kaala patthar,1979,176,"Action, Drama, History",7.7,2207,Yash Chopra,amitabh bachchan,shashi kapoor,shatrughan sinha
kaala samrajya,1999,119,"Action, Crime, Romance",4.2,36,Deepak Bahry,sunil shetty,monica bedi,amrish puri
kaala sona,1975,137,"Action, Thriller",6.4,61,Ravikant Nagaich,feroz khan,parveen babi,prem chopra
kaalakaandi,2018,112,"Comedy, Thriller",6.3,2612,Akshat Verma,saif ali khan,asif basra,neil bhoopalam
kaali khuhi,2020,90,"Drama, Horror, Mystery",3.4,1032,Terrie Samundra,shabana azmi,sanjeeda sheikh,riva arora
kaali ki saugandh,2000,90,Action,5.0,7,Saabir,anmol,dharmendra,johny fever
kaalia,1981,157,"Action, Drama",6.8,1412,Tinnu Anand,amitabh bachchan,asha parekh,parveen babi
kaalo,2010,79,"Action, Drama, Horror",3.3,260,Wilson Louis,aditya srivastav,swini khara,aditya lakhia
kaam jwala: the fire,2004,73,Drama,2.7,9,Kanti Shah,amit pachori,sapna sappu,junior jagdeep
kaam shastra,1975,136,Thriller,6.4,13,Prem Kapoor,alka,ramesh aurora,urmila bhatt
kaamaagni,1987,134,"Drama, Music",4.6,7,Ashok Kumar,sushma ahuja,tina ambani,leena das
kaamchor,1982,135,"Drama, Family",6.6,131,K. Viswanath,rakesh roshan,jaya prada,tanuja
kaanchi,2014,151,"Drama, Musical, Romance",4.2,590,Subhash Ghai,mishti,kartik aaryan,rishi kapoor
kaanchli life in a slough,2020,101,Drama,7.3,85,Dedipya Joshii,sanjay mishra,shikha malhotra,nareshpal singh chouhan
